"","country","retailrecration","grocerypharmacy","parks","transitstations","workplaces","residential"
"139","Illinois","-53%","-24%","-29%","-55%","-39%","+13%"
"140","Indiana","-48%","-25%","+24%","-34%","-36%","+11%"
"141","Iowa","-43%","-10%","+41%","-28%","-29%","+10%"
"142","Kansas","-36%","-14%","+72%","-20%","-30%","+9%"
"143","Kentucky","-37%","-11%","+68%","-34%","-34%","+9%"
"144","Louisiana","-45%","-16%","-18%","-49%","-35%","+11%"
"145","Maine","-50%","-22%","-24%","-56%","-31%","+10%"
"146","Maryland","-45%","-25%","+29%","-51%","-39%","+13%"
"147","Massachusetts","-59%","-36%","-56%","-73%","-42%","+16%"
"148","Michigan","-58%","-28%","+15%","-55%","-43%","+12%"
"149","Minnesota","-58%","-35%","-16%","-64%","-38%","+14%"
"150","Mississippi","-32%","-7%","+27%","-29%","-30%","+9%"
"151","Missouri","-38%","-12%","+73%","-34%","-32%","+9%"
"152","Montana","-51%","-25%","+28%","-37%","-37%","+10%"
"153","Nebraska","-34%","-9%","+109%","-18%","-24%","+8%"
"154","Nevada","-47%","-23%","-38%","-62%","-52%","+14%"
"155","New","-58%","-35%","-63%","-63%","-38%","+13%"
"156","New","-59%","-33%","-36%","-70%","-44%","+16%"
"157","New","-44%","-18%","-12%","-31%","-34%","+11%"
"158","New","-62%","-32%","-47%","-68%","-46%","+16%"
"159","North","-40%","-15%","+13%","-51%","-35%","+10%"
"160","North","-44%","-13%","+73%","-36%","-24%","+9%"
"161","Ohio","-43%","-19%","+117%","-33%","-35%","+10%"
"162","Oklahoma","-36%","-12%","+29%","-23%","-32%","+9%"
"163","Oregon","-51%","-25%","-22%","-47%","-38%","+12%"
"164","Pennsylvania","-50%","-27%","+7%","-52%","-38%","+12%"
"165","Rhode","-55%","-30%","-50%","-67%","-37%","+14%"
"166","South","-38%","-11%","-4%","-34%","-34%","+9%"
"167","South","-35%","-3%","+126%","-31%","-25%","+8%"
"168","Tennessee","-35%","-9%","+35%","-35%","-34%","+8%"
"169","Texas","-45%","-23%","-27%","-47%","-36%","+13%"
"170","Utah","-41%","-14%","+26%","-44%","-40%","+10%"
"171","Vermont","-62%","-42%","-55%","-71%","-43%","+13%"
"172","Virginia","-39%","-16%","+46%","-50%","-36%","+11%"
"173","Washington","-48%","-26%","-11%","-56%","-41%","+13%"
"174","West","-38%","-16%","+52%","-31%","-33%","+8%"
"175","Wisconsin","-55%","-30%","-12%","-50%","-34%","+13%"
"176","Wyoming","-37%","-13%","+29%","-14%","-29%","+8%"
"177","Uruguay","-75%","-45%","-79%","-71%","-35%","+22%"
"178","Venezuela","-62%","-44%","-57%","-62%","-25%","+16%"
"179","Vietnam","-52%","-29%","-33%","-49%","-20%","+16%"
"180","Yemen","-8%","-1%","-9%","-9%","-5%","+5%"
"181","Zambia","-21%","-8%","-6%","-24%","+0%","+10%"
